Fecha_Hora;valor
12/7/2015 0:00;24,5
13/7/2015 0:00;0,1
14/7/2015 0:00;0,5
15/7/2015 0:00;9,8
16/7/2015 0:00;19,2
17/7/2015 0:00;0
18/7/2015 0:00;51
19/7/2015 0:00;6,4
20/7/2015 0:00;3,3
21/7/2015 0:00;5,8
22/7/2015 0:00;67,9
23/7/2015 0:00;59
24/7/2015 0:00;26,9
25/7/2015 0:00;14,9
26/7/2015 0:00;9,6
27/7/2015 0:00;37,2
28/7/2015 0:00;47,6
29/7/2015 0:00;31,4
30/7/2015 0:00;20
31/7/2015 0:00;20,2
1/8/2015 0:00;20,8
2/8/2015 0:00;9,1
3/8/2015 0:00;1
4/8/2015 0:00;13,1
5/8/2015 0:00;25
6/8/2015 0:00;1,9
7/8/2015 0:00;0,3
8/8/2015 0:00;0,8
9/8/2015 0:00;3,7
10/8/2015 0:00;3,6
11/8/2015 0:00;4,1
12/8/2015 0:00;10,4
13/8/2015 0:00;5,4
14/8/2015 0:00;53,4
15/8/2015 0:00;43,5
16/8/2015 0:00;17,7
17/8/2015 0:00;28,9
18/8/2015 0:00;0,7
19/8/2015 0:00;4,8
20/8/2015 0:00;10,3
21/8/2015 0:00;3,5
22/8/2015 0:00;0,2
23/8/2015 0:00;2
24/8/2015 0:00;6,2
25/8/2015 0:00;28,8
26/8/2015 0:00;3,4
27/8/2015 0:00;0,2
28/8/2015 0:00;15
29/8/2015 0:00;26,6
30/8/2015 0:00;8,4
31/8/2015 0:00;33,3
1/9/2015 0:00;38,8
2/9/2015 0:00;6,1
3/9/2015 0:00;3,4
4/9/2015 0:00;1,7
5/9/2015 0:00;2,1
6/9/2015 0:00;6,5
7/9/2015 0:00;17
8/9/2015 0:00;3
9/9/2015 0:00;11
10/9/2015 0:00;0
11/9/2015 0:00;0,7
12/9/2015 0:00;0,3
13/9/2015 0:00;0
14/9/2015 0:00;0,1
15/9/2015 0:00;2,5
16/9/2015 0:00;1
17/9/2015 0:00;0
18/9/2015 0:00;6,5
19/9/2015 0:00;3
20/9/2015 0:00;5,6
21/9/2015 0:00;6,1
22/9/2015 0:00;4
23/9/2015 0:00;8,3
24/9/2015 0:00;0,7
25/9/2015 0:00;1
26/9/2015 0:00;4,1
27/9/2015 0:00;1,9
28/9/2015 0:00;0,8
29/9/2015 0:00;0
30/9/2015 0:00;2,9
1/10/2015 0:00;4,8
2/10/2015 0:00;1,8
3/10/2015 0:00;5,1
4/10/2015 0:00;15,2
5/10/2015 0:00;11
6/10/2015 0:00;0,6
7/10/2015 0:00;3,2
8/10/2015 0:00;0
9/10/2015 0:00;0,6
10/10/2015 0:00;3,1
11/10/2015 0:00;7,3
12/10/2015 0:00;3
13/10/2015 0:00;10,4
14/10/2015 0:00;5,2
15/10/2015 0:00;17,7
16/10/2015 0:00;10,6
17/10/2015 0:00;8,2
18/10/2015 0:00;13
19/10/2015 0:00;3,8
20/10/2015 0:00;2,8
21/10/2015 0:00;0,1
22/10/2015 0:00;0
23/10/2015 0:00;0
24/10/2015 0:00;3,7
25/10/2015 0:00;7,8
26/10/2015 0:00;1
27/10/2015 0:00;1,2
28/10/2015 0:00;1,4
29/10/2015 0:00;1,1
30/10/2015 0:00;0
31/10/2015 0:00;0
1/11/2015 0:00;3,9
2/11/2015 0:00;0
3/11/2015 0:00;0
4/11/2015 0:00;0,9
5/11/2015 0:00;8,7
6/11/2015 0:00;16
7/11/2015 0:00;42,5
8/11/2015 0:00;1,6
9/11/2015 0:00;12,7
10/11/2015 0:00;5,8
11/11/2015 0:00;1
12/11/2015 0:00;3,8
13/11/2015 0:00;7,9
14/11/2015 0:00;11,3
15/11/2015 0:00;7,5
16/11/2015 0:00;2,6
17/11/2015 0:00;9
18/11/2015 0:00;0
19/11/2015 0:00;0
20/11/2015 0:00;0,1
21/11/2015 0:00;7,1
22/11/2015 0:00;0
23/11/2015 0:00;1,5
24/11/2015 0:00;2,3
25/11/2015 0:00;6,8
26/11/2015 0:00;0,5
27/11/2015 0:00;0,1
28/11/2015 0:00;1,1
29/11/2015 0:00;1,1
30/11/2015 0:00;3,8
1/12/2015 0:00;33
2/12/2015 0:00;11,7
3/12/2015 0:00;0,1
4/12/2015 0:00;0,2
5/12/2015 0:00;8,8
6/12/2015 0:00;0
7/12/2015 0:00;0,5
8/12/2015 0:00;1,2
9/12/2015 0:00;3,1
10/12/2015 0:00;10,3
11/12/2015 0:00;0,2
12/12/2015 0:00;0,1
13/12/2015 0:00;0
14/12/2015 0:00;4
15/12/2015 0:00;10,9
16/12/2015 0:00;10,6
17/12/2015 0:00;2,6
18/12/2015 0:00;15,8
19/12/2015 0:00;28,1
20/12/2015 0:00;9,8
21/12/2015 0:00;0,9
22/12/2015 0:00;1,6
23/12/2015 0:00;5
24/12/2015 0:00;4,1
25/12/2015 0:00;3,5
26/12/2015 0:00;25,5
27/12/2015 0:00;4,5
28/12/2015 0:00;3
29/12/2015 0:00;10,4
30/12/2015 0:00;10,5
31/12/2015 0:00;23,2
1/1/2016 0:00;0
2/1/2016 0:00;4,1
3/1/2016 0:00;0,9
4/1/2016 0:00;0,9
5/1/2016 0:00;1,6
6/1/2016 0:00;1,3
7/1/2016 0:00;0,3
8/1/2016 0:00;2,2
9/1/2016 0:00;2,9
10/1/2016 0:00;9,6
11/1/2016 0:00;0,3
12/1/2016 0:00;7,2
13/1/2016 0:00;0,2
14/1/2016 0:00;0
15/1/2016 0:00;0
16/1/2016 0:00;0
17/1/2016 0:00;0
18/1/2016 0:00;0
19/1/2016 0:00;0
20/1/2016 0:00;0,4
21/1/2016 0:00;1,6
22/1/2016 0:00;4,6
23/1/2016 0:00;2,2
24/1/2016 0:00;0,6
25/1/2016 0:00;4,9
26/1/2016 0:00;0
27/1/2016 0:00;0
